ItemNum,SubItemNum,ItemStartDate,ItemEndDate,Category,Group,SubGroup,SubHeading,ItemType,FeeType,ProviderType,NewItem,ItemChange,AnaesChange,DescriptorChange,FeeChange,EMSNChange,EMSNCap,BenefitType,BenefitStartDate,FeeStartDate,ScheduleFee,Benefit100,BasicUnits,EMSNStartDate,EMSNEndDate,EMSNFixedCapAmount,EMSNMaximumCap,EMSNPercentageCap,EMSNDescription,EMSNChangeDate,DescriptionStartDate,Description,QFEStartDate,QFEEndDate,DerivedFeeStartDate,DerivedFee,Benefit75,Benefit85,Anaes
54,,01.12.1989,,1,A2,1,1,S,N,,N,N,N,N,N,N,P,E,01.01.2005,01.12.1991,38.00,38.00,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at consulting rooms of more than 25 minutes in duration but not more than 45 minutes (other than a service to which any other item applies)-each attendance, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).
",,,NA,NA,NA,NA,NA
57,,01.12.1989,,1,A2,1,1,S,N,,N,N,N,N,N,N,P,E,01.01.2005,01.12.1991,61.00,61.00,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at consulting rooms of more than 45 minutes in duration (other than a service to which any other item applies)-each attendance, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).
",,,NA,NA,NA,NA,NA
58,,01.12.1989,,1,A2,1,2,S,D,,N,N,N,N,N,N,P,D,01.11.2000,NA,NA,NA,,01.01.2013,,,500.00,300.00,"300% of the Derived fee for this item, or $500, whichever is the lesser amount",,01.11.2019,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in the table applies), not more than 5 minutes in duration-an attendance on one or more patients at one place on one occasion-each patient, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).
",,,01.11.2000,"An amount equal to $8.50, plus $15.50 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - an amount equal to $8.50 plus $.70 per patient",NA,NA,NA
59,,01.12.1989,,1,A2,1,2,S,D,,N,N,N,N,N,N,P,D,01.11.2000,NA,NA,NA,,01.01.2013,,,500.00,300.00,"300% of the Derived fee for this item, or $500, whichever is the lesser amount",,01.11.2019,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in the table applies) of more than 5 minutes in duration but not more than 25 minutes-an attendance on one or more patients at one place on one occasion-each patient, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).
",,,01.11.2000,"An amount equal to $16.00, plus $17.50 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - an amount equal to $16.00 plus $.70 per patient",NA,NA,NA
60,,01.12.1989,,1,A2,1,2,S,D,,N,N,N,N,N,N,P,D,01.11.2000,NA,NA,NA,,01.01.2013,,,500.00,300.00,"300% of the Derived fee for this item, or $500, whichever is the lesser amount",,01.11.2019,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in the table applies) of more than 25 minutes in duration but not more than 45 minutes-an attendance on one or more patients at one place on one occasion-each patient, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).
",,,01.11.2000,"An amount equal to $35.50, plus $15.50 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - an amount equal to $35.50 plus $.70 per patient",NA,NA,NA
65,,01.12.1989,,1,A2,1,2,S,D,,N,N,N,N,N,N,P,D,01.11.2000,NA,NA,NA,,01.01.2013,,,500.00,300.00,"300% of the Derived fee for this item, or $500, whichever is the lesser amount",,01.11.2019,"Professional attendance (other than an attendance at consulting rooms or a residential aged care facility or a service to which any other item in the table applies) of more than 45 minutes in duration-an attendance on one or more patients at one place on one occasion-each patient, by: (a) a medical practitioner (who is not a general practitioner); or (b) a Group A1 disqualified general practitioner, as defined in the dictionary of the General Medical Services Table (GMST).
",,,01.11.2000,"An amount equal to $57.50, plus $15.50 divided by the number of patients seen, up to a maximum of six patients. For seven or more patients - an amount equal to $57.50 plus $.70 per patient",NA,NA,NA
104,,01.11.1990,,1,A3,,,S,N,,N,N,N,N,N,N,P,C,01.11.1990,01.07.2021,90.35,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at consulting rooms or hospital by a specialist in the practice of the specialist's specialty after referral of the patient to the specialist-each attendance, other than a second or subsequent attendance, in a single course of treatment, other than a service to which item 106, 109 or 16401 applies
",,,NA,NA,67.80,76.80,NA
105,,01.11.1990,,1,A3,,,S,N,,N,N,N,N,N,N,P,C,01.11.1990,01.07.2021,45.40,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance by a specialist in the practice of the specialist's specialty following referral of the patient to the specialist-an attendance after the first in a single course of treatment, if that attendance is at consulting rooms or hospital, other than a service to which item 16404 applies
",,,NA,NA,34.05,38.60,NA
106,,01.12.1991,,1,A3,,,S,N,,N,N,N,N,N,N,P,C,01.12.1991,01.07.2021,74.95,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance by a specialist in the practice of the specialist's specialty of ophthalmology and following referral of the patient to the specialist-an attendance (other than a second or subsequent attendance in a single course of treatment) at which the only service provided is refraction testing for the issue of a prescription for spectacles or contact lenses, if that attendance is at consulting rooms or hospital (other than a service to which any of items 104, 109 and 10801 to 10816 applies)
",,,NA,NA,56.25,63.75,NA
107,,01.11.1990,,1,A3,,,S,N,,N,N,N,N,N,N,P,C,01.11.1990,01.07.2021,132.60,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance by a specialist in the practice of the specialist's specialty following referral of the patient to the specialist-an attendance (other than a second or subsequent attendance in a single course of treatment), if that attendance is at a place other than consulting rooms or hospital
",,,NA,NA,99.45,112.75,NA
108,,01.11.1990,,1,A3,,,S,N,,N,N,N,N,N,N,P,C,01.11.1990,01.07.2021,83.95,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance by a specialist in the practice of the specialist's specialty following referral of the patient to the specialist-each attendance after the first in a single course of treatment, if that attendance is at a place other than consulting rooms or hospital
",,,NA,NA,63.00,71.40,NA
109,,01.05.2006,,1,A3,,,S,N,,N,N,N,N,N,N,P,C,01.05.2006,01.07.2021,203.65,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance by a specialist in the practice of the specialist's specialty of ophthalmology following referral of the patient to the specialist-an attendance (other than a second or subsequent attendance in a single course of treatment) at which a comprehensive eye examination, including pupil dilation, is performed on: (a) a patient aged 9 years or younger; or (b) a patient aged 14 years or younger with developmental delay; (other than a service to which any of items 104, 106 and 10801 to 10816 applies)
",,,NA,NA,152.75,173.15,NA
110,,01.02.1984,,1,A4,,,S,N,,N,N,N,N,N,N,P,C,01.03.1987,01.07.2021,159.35,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-initial attendance in a single course of treatment
",,,NA,NA,119.55,135.45,NA
111,,01.11.2017,,1,A3,,,S,N,,N,N,N,N,N,N,P,C,01.11.2017,01.07.2021,45.40,NA,,01.11.2017,,,500.00,300.00,,,01.07.2021,"Professional attendance at consulting rooms or in hospital by a specialist in the practice of the specialist's specialty following referral of the patient to the specialist by a referring practitioner-an attendance after the first attendance in a single course of treatment, if: (a) during the attendance, the specialist determines the need to perform an operation on the patient that had not otherwise been scheduled; and (b) the specialist subsequently performs the operation on the patient, on the same day; and (c) the operation is a service to which an item in Group T8 applies; and (d) the amount specified in the item in Group T8 as the fee for a service to which that item applies is $312.15or more For any particular patient, once only on the same day
",,,NA,NA,34.05,38.60,NA
115,,01.04.2019,,1,A3,,,D,N,,N,N,N,N,N,N,P,C,01.04.2019,01.07.2021,45.40,NA,,01.04.2019,,,500.00,300.00,,,01.07.2021,"Professional attendance at consulting rooms or in hospital on a day by a medical practitioner (the attending practitioner) who is a specialist or consultant physician in the practice of the attending practitioner’s specialty after referral of the patient to the attending practitioner by a referring practitioner—an attendance after the initial attendance in a single course of treatment, if: (a) the attending practitioner performs a scheduled operation on the patient on the same day; and (b) the operation is a service to which an item in Group T8 applies; and (c) the amount specified in the item in Group T8 as the fee for a service to which that item applies is $312.15 or more; and (d) the attendance is unrelated to the scheduled operation; and (e) it is considered a clinical risk to defer the attendance to a later day For any particular patient, once only on the same day
",,,NA,NA,34.05,38.60,NA
116,,01.02.1984,,1,A4,,,S,N,,N,N,N,N,N,N,P,C,01.03.1987,01.07.2021,79.75,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-each attendance (other than a service to which item 119 applies) after the first in a single course of treatment
",,,NA,NA,59.85,67.80,NA
117,,01.11.2017,,1,A4,,,S,N,,N,N,N,N,N,N,P,C,01.11.2017,01.07.2021,79.75,NA,,01.11.2017,,,500.00,300.00,,,01.07.2021,"Professional attendance at consulting rooms or in hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-an attendance after the first attendance in a single course of treatment, if: (a) the attendance is not a minor attendance; and (b) during the attendance, the consultant physician determines the need to perform an operation on the patient that had not otherwise been scheduled; and (c) the consultant physician subsequently performs the operation on the patient, on the same day; and (d) the operation is a service to which an item in Group T8 applies; and (e) the amount specified in the item in Group T8 as the fee for a service to which that item applies is $312.15 or more For any particular patient, once only on the same day
",,,NA,NA,59.85,67.80,NA
119,,22.12.1987,,1,A4,,,S,N,,N,N,N,N,N,N,P,C,22.12.1987,01.07.2021,45.40,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-each minor attendance after the first in a single course of treatment
",,,NA,NA,34.05,38.60,NA
120,,01.11.2017,,1,A4,,,S,N,,N,N,N,N,N,N,P,C,01.11.2017,01.07.2021,45.40,NA,,01.11.2017,,,500.00,300.00,,,01.07.2021,"Professional attendance at consulting rooms or in hospital by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-an attendance after the first attendance in a single course of treatment, if: (a) the attendance is a minor attendance; and (b) during the attendance, the consultant physician determines the need to perform an operation on the patient that had not otherwise been scheduled; and (c) the consultant physician subsequently performs the operation on the patient, on the same day; and (d) the operation is a service to which an item in Group T8 applies; and (e) the amount specified in the item in Group T8 as the fee for a service to which that item applies is $312.15 or more For any particular patient, once only on the same day
",,,NA,NA,34.05,38.60,NA
122,,01.02.1984,,1,A4,,,S,N,,N,N,N,N,N,N,P,C,01.03.1987,01.07.2021,193.35,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at a place other than consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-initial attendance in a single course of treatment
",,,NA,NA,145.05,164.35,NA
128,,01.02.1984,,1,A4,,,S,N,,N,N,N,N,N,N,P,C,01.03.1987,01.07.2021,116.95,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at a place other than consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-each attendance (other than a service to which item 131 applies) after the first in a single course of treatment
",,,NA,NA,87.75,99.45,NA
131,,22.12.1987,,1,A4,,,S,N,,N,N,N,N,N,N,P,C,22.12.1987,01.07.2021,84.25,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance at a place other than consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) following referral of the patient to the consultant physician by a referring practitioner-each minor attendance after the first in a single course of treatment
",,,NA,NA,63.20,71.65,NA
132,,01.11.2007,,1,A4,,,S,N,,N,N,N,N,N,N,P,C,01.11.2007,01.07.2021,278.75,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) of at least 45 minutes in duration for an initial assessment of a patient with at least 2 morbidities (which may include complex congenital, developmental and behavioural disorders) following referral of the patient to the consultant physician by a referring practitioner, if: (a) an assessment is undertaken that covers: (i) a comprehensive history, including psychosocial history and medication review; and (ii) comprehensive multi or detailed single organ system assessment; and (iii) the formulation of differential diagnoses; and (b) a consultant physician treatment and management plan of significant complexity is prepared and provided to the referring practitioner, which involves: (i) an opinion on diagnosis and risk assessment; and (ii) treatment options and decisions; and (iii) medication recommendations; and (c) an attendance on the patient to which item 110, 116 or 119 applies did not take place on the same day by the same consultant physician; and (d) this item has not applied to an attendance on the patient in the preceding 12 months by the same consultant physician
",,,NA,NA,209.10,236.95,NA
133,,01.11.2007,,1,A4,,,S,N,,N,N,N,N,N,N,P,C,01.11.2007,01.07.2021,139.55,NA,,01.01.2013,,,500.00,300.00,,,01.11.2019,"Professional attendance by a consultant physician in the practice of the consultant physician's specialty (other than psychiatry) of at least 20 minutes in duration after the first attendance in a single course of treatment for a review of a patient with at least 2 morbidities (which may include complex congenital, developmental and behavioural disorders) if: (a) a review is undertaken that covers: (i) review of initial presenting problems and results of diagnostic investigations; and (ii) review of responses to treatment and medication plans initiated at time of initial consultation; and (iii) comprehensive multi or detailed single organ system assessment; and (iv) review of original and differential diagnoses; and (b) the modified consultant physician treatment and management plan is provided to the referring practitioner, which involves, if appropriate: (i) a revised opinion on the diagnosis and risk assessment; and (ii) treatment options and decisions; and (iii) revised medication recommendations; and (c) an attendance on the patient to which item 110, 116 or 119 applies did not take place on the same day by the same consultant physician; and (d) item 132 applied to an attendance claimed in the preceding 12 months; and (e) the attendance under this item is claimed by the same consultant physician who claimed item 132 or a locum tenens; and (f) this item has not applied more than twice in any 12 month period
",,,NA,NA,104.70,118.65,NA
135,,01.07.2008,,1,A29,,,S,N,,N,N,N,N,N,N,P,C,01.07.2008,01.07.2021,278.75,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance of at least 45 minutes in duration at consulting rooms or hospital, by a consultant physician in the practice of the consultant physician's specialty of paediatrics, following referral of the patient to the consultant by a referring practitioner, for assessment, diagnosis and preparation of a treatment and management plan for a patient aged under 13 years with autism or another pervasive developmental disorder, if the consultant paediatrician does all of the following: (a) undertakes a comprehensive assessment and makes a diagnosis (if appropriate, using information provided by an eligible allied health provider); (b) develops a treatment and management plan, which must include the following: (i) an assessment and diagnosis of the patient's condition; (ii) a risk assessment; (iii) treatment options and decisions; (iv) if necessary-medical recommendations; (c) provides a copy of the treatment and management plan to: (i) the referring practitioner; and (ii) one or more allied health providers, if appropriate, for the treatment of the patient; (other than attendance on a patient for whom payment has previously been made under this item or item 137, 139 or 289)
",,,NA,NA,209.10,236.95,NA
137,,01.07.2011,,1,A29,,,S,N,,N,N,N,N,N,N,P,C,01.07.2011,01.07.2021,278.75,NA,,01.11.2012,,,500.00,300.00,,,01.11.2011,"Professional attendance of at least 45 minutes duration, at consulting rooms or hospital, by a specialist or consultant physician, for assessment, diagnosis and the preparation of a treatment and management plan for a child aged under 13 years, with an eligible disability, who has been referred to the specialist or consultant physician by a referring practitioner, if the specialist or consultant physician does the following: (a)undertakes a comprehensive assessment of the child and forms a diagnosis (using the assistance of one or more allied health providers where appropriate) (b)develops a treatment and management plan which must include the following: (i)the outcomes of the assessment; (ii)the diagnosis or diagnoses; (iii)opinion on risk assessment; (iv)treatment options and decisions; (v)appropriate medication recommendations, where necessary. (c)provides a copy of the treatment and management plan to the: (i)referring practitioner; and (ii)relevant allied health providers (where appropriate). Not being an attendance on a child in respect of whom payment has previously been made under this item or items 135, 139 or 289.
",,,NA,NA,209.10,236.95,NA
139,,01.07.2011,,1,A29,,,S,N,,N,N,N,N,N,N,P,E,01.07.2011,01.07.2021,139.95,139.95,,01.11.2012,,,500.00,300.00,,,01.07.2011,"Professional attendance of at least 45 minutes in duration at consulting rooms only, by a general practitioner (not including a specialist or consultant physician) for assessment, diagnosis and preparation of a treatment and management plan for a patient under 13 years with an eligible disability if the general practitioner does all of the following: (a) undertakes a comprehensive assessment and makes a diagnosis (if appropriate, using information provided by an eligible allied health provider); (b) develops a treatment and management plan, which must include the following: (i) an assessment and diagnosis of the patient's condition; (ii) a risk assessment; (iii) treatment options and decisions; (iv) if necessary-medication recommendations; (c) provides a copy of the treatment and management plan to one or more allied health providers, if appropriate, for the treatment of the patient; (other than attendance on a patient for whom payment has previously been made under this item or item 135, 137 or 289)
",,,NA,NA,NA,NA,NA
141,,01.11.2007,,1,A28,,,S,N,,N,N,N,N,N,N,P,C,01.11.2007,01.07.2021,478.05,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance of more than 60 minutes in duration at consulting rooms or hospital by a consultant physician or specialist in the practice of the consultant physician's or specialist's specialty of geriatric medicine, if: (a) the patient is at least 65 years old and referred by a medical practitioner practising in general practice (including a general practitioner, but not including a specialist or consultant physician) or a participating nurse practitioner; and (b) the attendance is initiated by the referring practitioner for the provision of a comprehensive assessment and management plan; and (c) during the attendance: (i) the medical, physical, psychological and social aspects of the patient's health are evaluated in detail using appropriately validated assessment tools if indicated (the assessment); and (ii) the patient's various health problems and care needs are identified and prioritised (the formulation); and (iii) a detailed management plan is prepared (the management plan) setting out: (A) the prioritised list of health problems and care needs; and (B) short and longer term management goals; and (C) recommended actions or intervention strategies to be undertaken by the patient's general practitioner or another relevant health care provider that are likely to improve or maintain health status and are readily available and acceptable to the patient and the patient's family and carers; and (iv) the management plan is explained and discussed with the patient and, if appropriate, the patient's family and any carers; and (v) the management plan is communicated in writing to the referring practitioner; and (d) an attendance to which item 104, 105, 107, 108, 110, 116 or 119 applies has not been provided to the patient on the same day by the same practitioner; and (e) an attendance to which this item or item 145 applies has not been provided to the patient by the same practitioner in the preceding 12 months
",,,NA,NA,358.55,406.35,NA
143,,01.11.2007,,1,A28,,,S,N,,N,N,N,N,N,N,P,C,01.11.2007,01.07.2021,298.85,NA,,01.11.2012,,,500.00,300.00,,,01.11.2019,"Professional attendance of more than 30 minutes in duration at consulting rooms or hospital by a consultant physician or specialist in the practice of the consultant physician's or specialist's specialty of geriatric medicine to review a management plan previously prepared by that consultant physician or specialist under item 141 or 145, if: (a) the review is initiated by the referring medical practitioner practising in general practice or a participating nurse practitioner; and (b) during the attendance: (i) the patient's health status is reassessed; and (ii) a management plan prepared under item 141 or 145 is reviewed and revised; and (iii) the revised management plan is explained to the patient and (if appropriate) the patient's family and any carers and communicated in writing to the referring practitioner; and (c) an attendance to which item 104, 105, 107, 108, 110, 116 or 119 applies was not provided to the patient on the same day by the same practitioner; and (d) an attendance to which item 141 or 145 applies has been provided to the patient by the same practitioner in the preceding 12 months; and (e) an attendance to which this item or item 147 applies has not been provided to the patient in the preceding 12 months, unless there has been a significant change in the patient's clinical condition or care circumstances that requires a further review
",,,NA,NA,224.15,254.05,NA
145,,01.11.2007,,1,A28,,,S,N,,N,N,N,N,N,N,P,B,01.11.2007,01.07.2021,579.65,NA,,01.01.2013,,,500.00,300.00,,,01.11.2019,"Professional attendance of more than 60 minutes in duration at a place other than consulting rooms or hospital by a consultant physician or specialist in the practice of the consultant physician's or specialist's specialty of geriatric medicine, if: (a) the patient is at least 65 years old and referred by a medical practitioner practising in general practice (including a general practitioner, but not including a specialist or consultant physician) or a participating nurse practitioner; and (b) the attendance is initiated by the referring practitioner for the provision of a comprehensive assessment and management plan; and (c) during the attendance: (i) the medical, physical, psychological and social aspects of the patient's health are evaluated in detail utilising appropriately validated assessment tools if indicated (the assessment); and (ii) the patient's various health problems and care needs are identified and prioritised (the formulation); and (iii) a detailed management plan is prepared (the management plan) setting out: (A) the prioritised list of health problems and care needs; and (B) short and longer term management goals; and (C) recommended actions or intervention strategies, to be undertaken by the patient's general practitioner or another relevant health care provider that are likely to improve or maintain health status and are readily available and acceptable to the patient, the patient's family and any carers; and (iv) the management plan is explained and discussed with the patient and, if appropriate, the patient's family and any carers; and (v) the management plan is communicated in writing to the referring practitioner; and (d) an attendance to which item 104, 105, 107, 108, 110, 116 or 119 applies has not been provided to the patient on the same day by the same practitioner; and (e) an attendance to which this item or item 141 applies has not been provided to the patient by the same practitioner in the preceding 12 months
",,,NA,NA,NA,492.75,NA
